id,key,English,Hindi,Tamil,Gujarati,Bengali,Telugu,Marathi,Malayalam,Kannada,channel
"3585","payeeNickName","Payee Nick Name","आदाता निक नाम","பெறுபவரின் பெயர்","Payee Nick Name","Payee Nick Name","Payee Nick Name","Payee Nick Name","Payee Nick Name","Payee Nick Name","MB"
"3586","addPhoto","Add Photo (Optional)","फ़ोटो जोड़ें (वैकल्पिक)","புகைப்படத்தைச் சேர் (விரும்பினால்)","Add Photo (Optional)","Add Photo (Optional)","Add Photo (Optional)","Add Photo (Optional)","Add Photo (Optional)","Add Photo (Optional)","MB"
"3587","addPayee","Add Payee","आदाता जोड़ें","பணம் பெறுபவரைச் சேர்க்கவும்","Add Payee","Add Payee","Add Payee","Add Payee","Add Payee","Add Payee","MB"
"3588","uploaded","Uploaded","अपलोड किए गए","பதிவேற்றப்பட்டது","Uploaded","Uploaded","Uploaded","Uploaded","Uploaded","Uploaded","MB"
"3589","payeeAccountDetails","Payee Account Details","आदाता खाता विवरण","பணம் பெறுபவர் கணக்கு விவரங்கள்","Payee Account Details","Payee Account Details","Payee Account Details","Payee Account Details","Payee Account Details","Payee Account Details","MB"
"3590","upiText","UPI","है मैं","UPI","UPI","UPI","UPI","UPI","UPI","UPI","MB"
"3591","mPinCancelConfirmationMessage","You are about to cancel the registration process for mobile banking.","आप मोबाइल बैंकिंग के लिए पंजीकरण प्रक्रिया रद्द करने वाले हैं।","மொபைல் பேங்கிங்கிற்கான பதிவு செயல்முறையை ரத்து செய்ய உள்ளீர்கள்.","You are about to cancel the registration process for mobile banking.","You are about to cancel the registration process for mobile banking.","You are about to cancel the registration process for mobile banking.","You are about to cancel the registration process for mobile banking.","You are about to cancel the registration process for mobile banking.","You are about to cancel the registration process for mobile banking.","MB"
"3592","resetMPinCancelConfirmationMessage","You are about to cancel the process of reset MPIN","आप एमपिन रीसेट करने की प्रक्रिया रद्द करने वाले हैं","MPIN ஐ மீட்டமைக்கும் செயல்முறையை ரத்து செய்ய உள்ளீர்கள்","You are about to cancel the process of reset MPIN","You are about to cancel the process of reset MPIN","You are about to cancel the process of reset MPIN","You are about to cancel the process of reset MPIN","You are about to cancel the process of reset MPIN","You are about to cancel the process of reset MPIN","MB"
"3593","mobileRegText","Mobile Registration","मोबाइल पंजीकरण","மொபைல் பதிவு","Mobile Registration","Mobile Registration","Mobile Registration","Mobile Registration","Mobile Registration","Mobile Registration","MB"
"3594","regText","Registration","पंजीकरण","பதிவு","Registration","Registration","Registration","Registration","Registration","Registration","MB"
"3595","successful","Successful!","सफल!","வெற்றி!","Successful!","Successful!","Successful!","Successful!","Successful!","Successful!","MB"
"3596","congratsMsg","Congrats! Your mobile banking services have been activated.","बधाई! आपकी मोबाइल बैंकिंग सेवाएँ सक्रिय हो गई हैं।","வாழ்த்துக்கள்! உங்கள் மொபைல் வங்கிச் சேவைகள் செயல்படுத்தப்பட்டுள்ளன.","Congrats! Your mobile banking services have been activated.","Congrats! Your mobile banking services have been activated.","Congrats! Your mobile banking services have been activated.","Congrats! Your mobile banking services have been activated.","Congrats! Your mobile banking services have been activated.","Congrats! Your mobile banking services have been activated.","MB"
"3597","congratsMsgForIB","Congrats, your Internet Banking services have been activated!","बधाई हो, आपकी इंटरनेट बैंकिंग सेवाएँ सक्रिय हो गई हैं!","வாழ்த்துக்கள், உங்கள் இணைய வங்கி சேவைகள் செயல்படுத்தப்பட்டுள்ளன!","Congrats, your Internet Banking services have been activated!","Congrats, your Internet Banking services have been activated!","Congrats, your Internet Banking services have been activated!","Congrats, your Internet Banking services have been activated!","Congrats, your Internet Banking services have been activated!","Congrats, your Internet Banking services have been activated!","MB"
"3598","setUpIBText","Set-up Internet Banking","इंटरनेट बैंकिंग सेट अप करें","இணைய வங்கியை அமைக்கவும்","Set-up Internet Banking","Set-up Internet Banking","Set-up Internet Banking","Set-up Internet Banking","Set-up Internet Banking","Set-up Internet Banking","MB"
"3599","ibSetUpText","Internet Banking is Set-Up","इंटरनेट बैंकिंग सेट-अप है","இன்டர்நெட் பேங்கிங் அமைக்கப்பட்டுள்ளது","Internet Banking is Set-Up","Internet Banking is Set-Up","Internet Banking is Set-Up","Internet Banking is Set-Up","Internet Banking is Set-Up","Internet Banking is Set-Up","MB"
"3600","wasSuccessful","was Successful!","सफल था!","வெற்றிகரமாக இருந்தது!","was Successful!","was Successful!","was Successful!","was Successful!","was Successful!","was Successful!","MB"
"3601","proceedToLogin","Proceed to Login","लॉगिन करने के लिए आगे बढ़ें","உள்நுழைய தொடரவும்","Proceed to Login","Proceed to Login","Proceed to Login","Proceed to Login","Proceed to Login","Proceed to Login","MB"
"3602","userID","User ID","उपयोगकर्ता पहचान","பயனர் ஐடி","User ID","User ID","User ID","User ID","User ID","User ID","MB"
"3603","password","Password","पासवर्ड","கடவுச்சொல்","Password","Password","Password","Password","Password","Password","MB"
"3604","confirmPassword","Confirm Password","पासवर्ड की पुष्टि कीजिये","கடவுச்சொல்லை உறுதிப்படுத்தவும்","Confirm Password","Confirm Password","Confirm Password","Confirm Password","Confirm Password","Confirm Password","MB"
"3605","save","Save","बचाना","சேமிக்கவும்","Save","Save","Save","Save","Save","Save","MB"
"3606","internetBankingTitle","Internet Banking","अंतराजाल लेन - देन","இணைய வங்கி","Internet Banking","Internet Banking","Internet Banking","Internet Banking","Internet Banking","Internet Banking","MB"
"3607","userIDErrorText","User Id not available","उपयोगकर्ता आईडी उपलब्ध नहीं है","பயனர் ஐடி கிடைக்கவில்லை","User Id not available","User Id not available","User Id not available","User Id not available","User Id not available","User Id not available","MB"
"3608","userIDRangeErrorText","User ID should be 6-32 characters long","यूजर आईडी 6-32 अक्षर लंबी होनी चाहिए","பயனர் ஐடி 6-32 எழுத்துகள் நீளமாக இருக்க வேண்டும்","User ID should be 6-32 characters long","User ID should be 6-32 characters long","User ID should be 6-32 characters long","User ID should be 6-32 characters long","User ID should be 6-32 characters long","User ID should be 6-32 characters long","MB"
"3609","reqNumber","Request number","अनुरोध संख्या","கோரிக்கை எண்","Request number","Request number","Request number","Request number","Request number","Request number","MB"
"3610","mPinErrorText","mPIN should be different from the last one","mPIN पिछले वाले से अलग होना चाहिए","mPIN கடைசியில் இருந்து வேறுபட்டதாக இருக்க வேண்டும்","mPIN should be different from the last one","mPIN should be different from the last one","mPIN should be different from the last one","mPIN should be different from the last one","mPIN should be different from the last one","mPIN should be different from the last one","MB"
"3611","resetMPinSubText","Please enter your new mPIN","कृपया अपना नया एमपिन दर्ज करें","உங்கள் புதிய mPIN ஐ உள்ளிடவும்","Please enter your new mPIN","Please enter your new mPIN","Please enter your new mPIN","Please enter your new mPIN","Please enter your new mPIN","Please enter your new mPIN","MB"
"3612","reEnterNewMPin","Re-enter New mPIN","Re-enter New mPIN","புதிய mPIN ஐ மீண்டும் உள்ளிடவும்","Re-enter New mPIN","Re-enter New mPIN","Re-enter New mPIN","Re-enter New mPIN","Re-enter New mPIN","Re-enter New mPIN","MB"
"3613","success","Success","सफलता","வெற்றி","Success","Success","Success","Success","Success","Success","MB"
"3614","login","Login","लॉग इन करें","உள்நுழைக","Login","Login","Login","Login","Login","Login","MB"
"3615","logout","Logout","लॉग आउट","வெளியேறு","Logout","Logout","Logout","Logout","Logout","Logout","MB"
"3616","mpinSuccessMessage","mPIN changed successfully. It will expire on #","एमपिन सफलतापूर्वक बदला गया. यह # को समाप्त हो जाएगा","mPIN வெற்றிகரமாக மாற்றப்பட்டது. இது # அன்று காலாவதியாகும்","mPIN changed successfully. It will expire on #","mPIN changed successfully. It will expire on #","mPIN changed successfully. It will expire on #","mPIN changed successfully. It will expire on #","mPIN changed successfully. It will expire on #","mPIN changed successfully. It will expire on #","MB"
"3617","dateRange","Date Range","दिनांक सीमा","தேதி வரம்பு","Date Range","Date Range","Date Range","Date Range","Date Range","Date Range","MB"
"3618","startDate","Start Date","आरंभ करने की तिथि","தொடக்க தேதி","Start Date","Start Date","Start Date","Start Date","Start Date","Start Date","MB"
"3619","endDate","End Date","अंतिम तिथि","முடிவு தேதி","End Date","End Date","End Date","End Date","End Date","End Date","MB"
"3620","monthText","Month","महीना","மாதம்","Month","Month","Month","Month","Month","Month","MB"
"3621","amountRange","Amount Range","राशि सीमा","தொகை வரம்பு","Amount Range","Amount Range","Amount Range","Amount Range","Amount Range","Amount Range","MB"
"3622","minimumAmount","Minimum Amount","न्यूनतम राशि","குறைந்தபட்ச தொகை","Minimum Amount","Minimum Amount","Minimum Amount","Minimum Amount","Minimum Amount","Minimum Amount","MB"
"3623","maximumAmount","Maximum Amount","अधिकतम राशि","அதிகபட்ச தொகை","Maximum Amount","Maximum Amount","Maximum Amount","Maximum Amount","Maximum Amount","Maximum Amount","MB"
"3624","minimumTenure","Minimum Tenure","न्यूनतम कार्यकाल","குறைந்தபட்ச பதவிக்காலம்","Minimum Tenure","Minimum Tenure","Minimum Tenure","Minimum Tenure","Minimum Tenure","Minimum Tenure","MB"
"3625","maximumTenure","Maximum Tenure","अधिकतम कार्यकाल","அதிகபட்ச பதவிக்காலம்","Maximum Tenure","Maximum Tenure","Maximum Tenure","Maximum Tenure","Maximum Tenure","Maximum Tenure","MB"
"3626","typeOfTransaction","Type of Transaction","लेन-देन का प्रकार","பரிவர்த்தனை வகை","Type of Transaction","Type of Transaction","Type of Transaction","Type of Transaction","Type of Transaction","Type of Transaction","MB"
"3627","debit","Debit","खर्चे में लिखना","பற்று","Debit","Debit","Debit","Debit","Debit","Debit","MB"
"3628","credit","Credit","श्रेय","கடன்","Credit","Credit","Credit","Credit","Credit","Credit","MB"
"3629","search","Search","खोज","தேடு","Search","Search","Search","Search","Search","Search","MB"
"3630","searchByKeyword","Search by Keyword","संकेतशब्द द्वारा खोजें","முக்கிய வார்த்தை மூலம் தேடுங்கள்","Search by Keyword","Search by Keyword","Search by Keyword","Search by Keyword","Search by Keyword","Search by Keyword","MB"
"3631","searchByBeneficiary","Search by Beneficiary","लाभार्थी द्वारा खोजें","பயனாளியால் தேடுங்கள்","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","Search by Beneficiary","MB"
"3632","endDateErrorText","End Date must be after Start Date","समाप्ति तिथि आरंभ तिथि के बाद होनी चाहिए","இறுதித் தேதி தொடக்கத் தேதிக்குப் பிறகு இருக்க வேண்டும்","End Date must be after Start Date","End Date must be after Start Date","End Date must be after Start Date","End Date must be after Start Date","End Date must be after Start Date","End Date must be after Start Date","MB"
"3633","startDateErrorText","Start Date must be before End Date","आरंभ तिथि समाप्ति तिथि से पहले होनी चाहिए","தொடக்கத் தேதி இறுதித் தேதிக்கு முன் இருக்க வேண்டும்","Start Date must be before End Date","Start Date must be before End Date","Start Date must be before End Date","Start Date must be before End Date","Start Date must be before End Date","Start Date must be before End Date","MB"
"3634","yourCardEndingWith","Your card ending with # will be blocked if you raise a fraud","यदि आप धोखाधड़ी का मामला उठाते हैं तो # से समाप्त होने वाला आपका कार्ड ब्लॉक कर दिया जाएगा","நீங்கள் மோசடி செய்திருந்தால் # உடன் முடிவடையும் உங்கள் கார்டு தடுக்கப்படும்","Your card ending with # will be blocked if you raise a fraud","Your card ending with # will be blocked if you raise a fraud","Your card ending with # will be blocked if you raise a fraud","Your card ending with # will be blocked if you raise a fraud","Your card ending with # will be blocked if you raise a fraud","Your card ending with # will be blocked if you raise a fraud","MB"
"3635","yourAccountEndingWith","Your account ending with # will be blocked if you raise a fraud","यदि आप धोखाधड़ी का मामला उठाते हैं तो # से समाप्त होने वाला आपका खाता ब्लॉक कर दिया जाएगा","நீங்கள் மோசடி செய்தால் # உடன் முடிவடையும் உங்கள் கணக்கு தடுக்கப்படும்","Your account ending with # will be blocked if you raise a fraud","Your account ending with # will be blocked if you raise a fraud","Your account ending with # will be blocked if you raise a fraud","Your account ending with # will be blocked if you raise a fraud","Your account ending with # will be blocked if you raise a fraud","Your account ending with # will be blocked if you raise a fraud","MB"
"3636","willBeBlockedIfYouRaiseAFraud","will be blocked if you raise a fraud","यदि आप धोखाधड़ी का मामला उठाते हैं तो ब्लॉक कर दिया जाएगा","நீங்கள் ஒரு மோசடியை எழுப்பினால் தடுக்கப்படும்","will be blocked if you raise a fraud","will be blocked if you raise a fraud","will be blocked if you raise a fraud","will be blocked if you raise a fraud","will be blocked if you raise a fraud","will be blocked if you raise a fraud","MB"
"3637","yourAccountEndingWithDisputeMsg","Your account ending with # will be blocked if you raise a dispute","यदि आप कोई विवाद उठाते हैं तो # से समाप्त होने वाला आपका खाता ब्लॉक कर दिया जाएगा","நீங்கள் ஒரு சர்ச்சையை எழுப்பினால் # உடன் முடிவடையும் உங்கள் கணக்கு தடுக்கப்படும்","Your account ending with # will be blocked if you raise a dispute","Your account ending with # will be blocked if you raise a dispute","Your account ending with # will be blocked if you raise a dispute","Your account ending with # will be blocked if you raise a dispute","Your account ending with # will be blocked if you raise a dispute","Your account ending with # will be blocked if you raise a dispute","MB"
"3638","confirm","Confirm","पुष्टि करना","உறுதிப்படுத்தவும்","Confirm","Confirm","Confirm","Confirm","Confirm","Confirm","MB"
"3639","areYouSureYouWantToRaiseADispute","Are you sure you want to raise a dispute?","क्या आप वाकई कोई विवाद उठाना चाहते हैं?","நீங்கள் நிச்சயமாக ஒரு சர்ச்சையை எழுப்ப விரும்புகிறீர்களா?","Are you sure you want to raise a dispute?","Are you sure you want to raise a dispute?","Are you sure you want to raise a dispute?","Are you sure you want to raise a dispute?","Are you sure you want to raise a dispute?","Are you sure you want to raise a dispute?","MB"
"3640","raiseDisputeCurrentTransaction","Current transaction status for the given RRN no 2343254245346 ACCEPTED","दिए गए आरआरएन नंबर 2343254245346 के लिए वर्तमान लेनदेन स्थिति स्वीकृत","கொடுக்கப்பட்ட RRN எண் 2343254245346க்கான தற்போதைய பரிவர்த்தனை நிலை ஏற்கப்பட்டது","Current transaction status for the given RRN no 2343254245346 ACCEPTED","Current transaction status for the given RRN no 2343254245346 ACCEPTED","Current transaction status for the given RRN no 2343254245346 ACCEPTED","Current transaction status for the given RRN no 2343254245346 ACCEPTED","Current transaction status for the given RRN no 2343254245346 ACCEPTED","Current transaction status for the given RRN no 2343254245346 ACCEPTED","MB"
"3641","raiseDisputeRaiseComplaint","Please click on “OK” to complete raising the dispute.","विवाद को पूरा करने के लिए कृपया ""ओके"" पर क्लिक करें।","சர்ச்சையை எழுப்புவதை முடிக்க ""சரி"" என்பதைக் கிளிக் செய்யவும்.","Please click on “OK” to complete raising the dispute.","Please click on “OK” to complete raising the dispute.","Please click on “OK” to complete raising the dispute.","Please click on “OK” to complete raising the dispute.","Please click on “OK” to complete raising the dispute.","Please click on “OK” to complete raising the dispute.","MB"
"3642","reportATransaction","Report a Transaction","लेन-देन की रिपोर्ट करें","ஒரு பரிவர்த்தனையைப் புகாரளிக்கவும்","Report a Transaction","Report a Transaction","Report a Transaction","Report a Transaction","Report a Transaction","Report a Transaction","MB"
"3643","transactionDeclined","Transaction Declined!","लेन - देन से इनकार कर दिया गया है!","பரிவர்த்தனை நிராகரிக்கப்பட்டது!","Transaction Declined!","Transaction Declined!","Transaction Declined!","Transaction Declined!","Transaction Declined!","Transaction Declined!","MB"
"3644","addUpiId","Add UPI ID","UPI आईडी जोड़ें","UPI ஐடியைச் சேர்க்கவும்","Add UPI ID","Add UPI ID","Add UPI ID","Add UPI ID","Add UPI ID","Add UPI ID","MB"
"3645","otherBankSuccessText","Payee Added successfully!","भुगतानकर्ता सफलतापूर्वक जोड़ा गया!","பணம் பெறுபவர் வெற்றிகரமாக சேர்க்கப்பட்டார்!","Payee Added successfully!","Payee Added successfully!","Payee Added successfully!","Payee Added successfully!","Payee Added successfully!","Payee Added successfully!","MB"
"3646","otherBankTransferLimitNew","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","नए लाभार्थी को स्थानांतरण शीतलन अवधि के दौरान निचली सीमा के अधीन है। कृपया लागू सीमा की जांच करें और पुनः प्रयास करें।","புதிய பயனாளிக்கான இடமாற்றங்கள் குளிரூட்டும் காலத்தில் குறைந்த வரம்பிற்கு உட்பட்டது. பொருந்தக்கூடிய வரம்பை சரிபார்த்து மீண்டும் முயற்சிக்கவும்.","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","Transfers to a new beneficiary are subject to a lower limit during the cooling period. Please check the applicable limit and try again.","MB"
"3647","otherBankCoolLimit","Transfers to a newly added beneficiary is as follows:","नए जोड़े गए लाभार्थी को स्थानांतरण इस प्रकार है:","புதிதாக சேர்க்கப்பட்ட பயனாளிக்கான இடமாற்றங்கள் பின்வருமாறு:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","MB"
"3648","otherBankCoolLimitFollow","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","30 मिनट के बाद किसी भी राशि के हस्तांतरण की सुविधा चाहते हैं, तो इसका पालन करें...  * डेबिट कार्ड क्रेडेंशियल्स का उपयोग करके लाभार्थी को प्रमाणित करें  * ""प्रमाणीकृत करें"" पर क्लिक करें","30 நிமிடங்களுக்குப் பிறகு எந்தத் தொகையையும் பரிமாற்றம் செய்ய அணுக வேண்டும், இதைப் பின்பற்றவும்...  * டெபிட் கார்டு சான்றுகளைப் பயன்படுத்தி பயனாளியை அங்கீகரிக்கவும்  * ""அங்கீகரி"" என்பதைக் கிளிக் செய்யவும்","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","Want access to transfer any amount post 30 minutes, follow this ...  * Authenticate the beneficiary using debit card credentials  * Click ""Authenticate""","MB"
"3649","fullLimitAccess","Transfers to a newly added beneficiary is as follows:","नए जोड़े गए लाभार्थी को स्थानांतरण इस प्रकार है:","புதிதாக சேர்க்கப்பட்ட பயனாளிக்கான இடமாற்றங்கள் பின்வருமாறு:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","Transfers to a newly added beneficiary is as follows:","MB"
"3650","viewAllPayees","View all Payees","सभी भुगतानकर्ता देखें","பணம் பெறுபவர்கள் அனைவரையும் பார்க்கவும்","View all Payees","View all Payees","View all Payees","View all Payees","View all Payees","View all Payees","MB"
"3651","skipForLater","Skip for Later","बाद के लिए छोड़ें","பிற்பாடு தவிர்க்கவும்","Skip for Later","Skip for Later","Skip for Later","Skip for Later","Skip for Later","Skip for Later","MB"
"3652","newPayeeAddedEquitas","New Payee Added to your Equitas family!","नये भुगतानकर्ता को जोड़ा गया आपका इक्विटास परिवार!","புதிய பணம் பெறுபவர் சேர்க்கப்பட்டார் உங்கள் ஈக்விடாஸ் குடும்பம்!","New Payee Added to your Equitas family!","New Payee Added to your Equitas family!","New Payee Added to your Equitas family!","New Payee Added to your Equitas family!","New Payee Added to your Equitas family!","New Payee Added to your Equitas family!","MB"
"3653","passwordNotMatchingText","Password mismatch","पासवर्ड बेमेल","கடவுச்சொல் பொருந்தவில்லை","Password mismatch","Password mismatch","Password mismatch","Password mismatch","Password mismatch","Password mismatch","MB"
"3654","passwordInValidText","Min. 8 characters with at least one capital letter, a number and a special character.","न्यूनतम. कम से कम एक बड़े अक्षर, एक संख्या और एक विशेष अक्षर के साथ 8 अक्षर।","குறைந்தபட்சம் குறைந்தபட்சம் ஒரு பெரிய எழுத்து, ஒரு எண் மற்றும் ஒரு சிறப்பு எழுத்து கொண்ட 8 எழுத்துகள்.","Min. 8 characters with at least one capital letter, a number and a special character.","Min. 8 characters with at least one capital letter, a number and a special character.","Min. 8 characters with at least one capital letter, a number and a special character.","Min. 8 characters with at least one capital letter, a number and a special character.","Min. 8 characters with at least one capital letter, a number and a special character.","Min. 8 characters with at least one capital letter, a number and a special character.","MB"
"3655","passwordMatched","Password Matched","पासवर्ड मिलान हुआ","கடவுச்சொல் பொருத்தப்பட்டது","Password Matched","Password Matched","Password Matched","Password Matched","Password Matched","Password Matched","MB"
"3656","enterMPinText","Enter New mPIN","नया एमपिन दर्ज करें","புதிய mPIN ஐ உள்ளிடவும்","Enter New mPIN","Enter New mPIN","Enter New mPIN","Enter New mPIN","Enter New mPIN","Enter New mPIN","MB"
"3657","cancelAlertMsg","Are you sure you want to cancel?","आप आप रद्द करना चाहते हैं?","நிச்சயமாக ரத்துசெய்ய விரும்புகிறீர்களா?","Are you sure you want to cancel?","Are you sure you want to cancel?","Are you sure you want to cancel?","Are you sure you want to cancel?","Are you sure you want to cancel?","Are you sure you want to cancel?","MB"
"3658","confirmMPinText","Confirm mPIN","एमपिन की पुष्टि करें","mPIN ஐ உறுதிப்படுத்தவும்","Confirm mPIN","Confirm mPIN","Confirm mPIN","Confirm mPIN","Confirm mPIN","Confirm mPIN","MB"
"3659","matchedMPinText","MPin Matched","एमपिन का मिलान हुआ","MPin பொருத்தப்பட்டது","MPin Matched","MPin Matched","MPin Matched","MPin Matched","MPin Matched","MPin Matched","MB"
"3660","headerTextMPin","Set your mPIN for Easy Access","आसान पहुंच के लिए अपना एमपिन सेट करें","எளிதான அணுகலுக்கு உங்கள் mPIN ஐ அமைக்கவும்","Set your mPIN for Easy Access","Set your mPIN for Easy Access","Set your mPIN for Easy Access","Set your mPIN for Easy Access","Set your mPIN for Easy Access","Set your mPIN for Easy Access","MB"
"3661","activateText","Activate Biometric","बायोमेट्रिक सक्रिय करें","பயோமெட்ரிக்கை இயக்கவும்","Activate Biometric","Activate Biometric","Activate Biometric","Activate Biometric","Activate Biometric","Activate Biometric","MB"
"3662","activateDebitCardMsg","Activate Debit Card","डेबिट कार्ड सक्रिय करें","டெபிட் கார்டை இயக்கவும்","Activate Debit Card","Activate Debit Card","Activate Debit Card","Activate Debit Card","Activate Debit Card","Activate Debit Card","MB"
"3663","mPinTextSuccessfully","mPIN successfully","एमपिन सफलतापूर्वक","mPIN வெற்றிகரமாக","mPIN successfully","mPIN successfully","mPIN successfully","mPIN successfully","mPIN successfully","mPIN successfully","MB"
"3664","updated","updated!","अद्यतन!","புதுப்பிக்கப்பட்டது!","updated!","updated!","updated!","updated!","updated!","updated!","MB"
"3665","congratsMPinMsg","Congrats, your mPIN is ready for use.","बधाई हो, आपका mPIN उपयोग के लिए तैयार है।","வாழ்த்துக்கள், உங்கள் mPIN பயன்படுத்த தயாராக உள்ளது.","Congrats, your mPIN is ready for use.","Congrats, your mPIN is ready for use.","Congrats, your mPIN is ready for use.","Congrats, your mPIN is ready for use.","Congrats, your mPIN is ready for use.","Congrats, your mPIN is ready for use.","MB"
"3666","detectedSimText","We detected a","हमने एक का पता लगाया","நாங்கள் கண்டறிந்தோம்","We detected a","We detected a","We detected a","We detected a","We detected a","We detected a","MB"
"3667","newSimCardText","New SIM Card","नया सिम कार्ड","புதிய சிம் கார்டு","New SIM Card","New SIM Card","New SIM Card","New SIM Card","New SIM Card","New SIM Card","MB"
"3668","simChangeDetected","SIM Change Detected!","सिम परिवर्तन का पता चला!","சிம் மாற்றம் கண்டறியப்பட்டது!","SIM Change Detected!","SIM Change Detected!","SIM Change Detected!","SIM Change Detected!","SIM Change Detected!","SIM Change Detected!","MB"
"3669","detectedSubtext","We have detected a new SIM Card for your phone number","हमने आपके फ़ोन नंबर के लिए एक नए सिम कार्ड का पता लगाया है","உங்கள் தொலைபேசி எண்ணுக்கான புதிய சிம் கார்டைக் கண்டறிந்துள்ளோம்","We have detected a new SIM Card for your phone number","We have detected a new SIM Card for your phone number","We have detected a new SIM Card for your phone number","We have detected a new SIM Card for your phone number","We have detected a new SIM Card for your phone number","We have detected a new SIM Card for your phone number","MB"
"3670","reRegisterText","Re-Register","पुन: पंजीकृत","மீண்டும் பதிவு செய்யவும்","Re-Register","Re-Register","Re-Register","Re-Register","Re-Register","Re-Register","MB"
"3671","registeringOnText","Registering on","पर पंजीकरण","பதிவு செய்யப்படுகிறது","Registering on","Registering on","Registering on","Registering on","Registering on","Registering on","MB"
"3672","transactionNote","Note: Transactions only for a period of 6 months will be available for search","ध्यान दें: केवल 6 महीने की अवधि के लेनदेन ही खोज के लिए उपलब्ध होंगे","குறிப்பு: தேடலுக்கு 6 மாத காலத்திற்கு மட்டுமே பரிவர்த்தனைகள் கிடைக்கும்","Note: Transactions only for a period of 6 months will be available for search","Note: Transactions only for a period of 6 months will be available for search","Note: Transactions only for a period of 6 months will be available for search","Note: Transactions only for a period of 6 months will be available for search","Note: Transactions only for a period of 6 months will be available for search","Note: Transactions only for a period of 6 months will be available for search","MB"
"3673","myAccounts","My Accounts","मेरा खाता","எனது கணக்குகள்","My Accounts","My Accounts","My Accounts","My Accounts","My Accounts","My Accounts","MB"
"3674","balanceCertificate","Balance Certificate","शेष प्रमाणपत्र","இருப்புச் சான்றிதழ்","Balance Certificate","Balance Certificate","Balance Certificate","Balance Certificate","Balance Certificate","Balance Certificate","MB"
"3675","interestCertificate","Interest Certificate","ब्याज प्रमाण पत्र","வட்டி சான்றிதழ்","Interest Certificate","Interest Certificate","Interest Certificate","Interest Certificate","Interest Certificate","Interest Certificate","MB"
"3676","emailIDChangeRequestText","The Email ID change request will be updated within 3 - 5 working days","ईमेल आईडी परिवर्तन अनुरोध 3 - 5 कार्य दिवसों के भीतर अपडेट किया जाएगा","மின்னஞ்சல் ஐடியை மாற்றுவதற்கான கோரிக்கை 3 - 5 வேலை நாட்களுக்குள் புதுப்பிக்கப்படும்","The Email ID change request will be updated within 3 - 5 working days","The Email ID change request will be updated within 3 - 5 working days","The Email ID change request will be updated within 3 - 5 working days","The Email ID change request will be updated within 3 - 5 working days","The Email ID change request will be updated within 3 - 5 working days","The Email ID change request will be updated within 3 - 5 working days","MB"
"3677","stopChequePay","Stop Cheque Pay","चेक भुगतान रोकें","காசோலை செலுத்துவதை நிறுத்து","Stop Cheque Pay","Stop Cheque Pay","Stop Cheque Pay","Stop Cheque Pay","Stop Cheque Pay","Stop Cheque Pay","MB"
"3678","accountNumber","Account Number","खाता संख्या","கணக்கு எண்","Account Number","Account Number","Account Number","Account Number","Account Number","Account Number","MB"
"3679","startChequeNo","Start Cheque Number","चेक नंबर प्रारंभ करें","சரிபார்ப்பு எண்ணைத் தொடங்கவும்","Start Cheque Number","Start Cheque Number","Start Cheque Number","Start Cheque Number","Start Cheque Number","Start Cheque Number","MB"
"3680","endChequeNo","End Cheque Number","अंत जांच संख्या","முடிவு சரிபார்ப்பு எண்","End Cheque Number","End Cheque Number","End Cheque Number","End Cheque Number","End Cheque Number","End Cheque Number","MB"
"3681","reasonForStopCheque","Reason","कारण","காரணம்","Reason","Reason","Reason","Reason","Reason","Reason","MB"
